,passage,summary
0,"새해 주요 기업들의 신년사 화두는 단연 ‘생존’이었다.,  미래 먹거리 부재, 중국 등 후발 주자의 거센 추격, 규제로 인한 신기술 활용 애로 등 국내외 난관을 극복하기 위한 도전과 변화에 초점이 맞춰졌다.,  ‘바뀌지 않으면 죽는다’는 메시지에 걸맞게 관행을 탈피한 시무식 풍경도 눈길을 끌었다.,    “올해 더 어렵다” 도전·미래 강조삼성전자 시무식은 2일 수원 ‘삼성 디지털시티’에서 경영진과 임직원 500여명이 참석한 가운데 열렸다.,  지난해 11월 이재용 삼성전자 부회장이 삼성전자 창립 50주년 기념식을 열고 “다가올 50년을 준비해 미래 세대에 물려줄 100년 기업이 되자”고 밝힌 장소다.,  김기남 부회장은 “올해 경제는 글로벌 저성장 기조, 정치적 불확실성, 투자·수출에서 소비로의 침체 확산 등으로 더욱 어려워질 것”이라고 전제한 뒤 “올해를 ‘미래 세대에게 물려줄 100년 기업’을 만들어 나갈 원년으로, 성장과 도약의 해로 만들자”고 말했다.,  이를 위해 “경기 변화에 강건한 사업체질을 만들고 한치 타협없는 품질 경쟁력을 확보하자”고 강조했다.,   2018년 이웅열 회장이 물러난 뒤 사장단이 시무식을 주관하고 있는 코오롱그룹은 근무 첫 날 전 임직원이 서퍼가 파도를 넘는 모양의 배지를 달았다.,  유석진 코오롱 사장은 “미래 시장을 선도하는 아이템이 없으면 살아남을 수 없다.,  코오롱만의 ‘Next Big Thing’을 만들어 불확실한 미래라는 큰 파도를 과감히 넘어서자”고 독려했다.,    ‘강당 시무식’ 대신 영상·토크쇼 파격이날 오후 서울 광진구 워커힐호텔에서 열린 SK그룹의 신년회는 토크쇼를 방불케 했다.,  최태원 회장 등 주요 경영진이 참석했지만 ‘회장님 신년사’ 없이 협력사·고객·직원 등 다양한 구성원들의 인터뷰, 현장발언, 대담 등으로 진행됐다.,  특히 대담에선 국적·성별·세대가 다른 직원들이 최 회장이 강조하는 ‘행복경영’을 주제로 의견을 주고 받았다.,  토론 내용을 정리하며 신년회를 마무리한 것도 신입사원이었다.,  SK는 “경영진이 여러 의견과 제언을 잘 듣고 행복 경영을 사회와 함께 이루겠다는 최태원 회장의 의지가 반영됐다”고 말했다.,    LG그룹은 온라인으로 시무식을 대체했다.,  구광모 ㈜LG 대표의 신년사를 담은 디지털 영상 ‘LG 2020 새해 편지(LG 2020 NEW YEAR’S LETTER)’가 영어·중국어 자막과 함께 세계 25만 명 임직원에게 이메일로 뿌려졌다., ",새해 주요 기업들의 신년사 화두는 단연 생존이었고 미래 먹거리 부재 규제로 인한 신기술 활용 애로 등 국내외 난관을 극복하기 위한 도전과 변화에 초점이 맞춰졌다.
1,"매년 빠지지 않는 새해 3대 결심으로 금주·금연·다이어트가 꼽힐 정도로 건강 문제는 항상 중요한 관심사다.,  2020년, ‘20’이라는 숫자가 연속으로 반복되는 해인 만큼 자생한방병원이 ‘20’을 키워드 삼아 새해 건강을 관리하는 비결을 발표했다.,   ‘20초’간 손뼉 치며 크게 웃어라 행복을 위한 가장 좋은 방법은 웃음이다.,  웃음은 뇌를 활성화해 엔도르핀과 세라토닌, 도파민 등 호르몬을 분비한다.,  면역력을 강화하고 통증 감소, 근육 이완 등의 효과로 이어진다.,  스트레스를 줄여주고 치매를 예방하는 데에도 좋다.,     박상원 자생한방병원 원장은 “얼굴로만 웃기보다 손뼉을 치거나 발을 구르며 웃는다면 전신을 사용해 더 많은 에너지를 소비할 수 있고 혈액순환도 촉진돼 더욱 효과적”이라고 말했다.,  하루 ‘20분’ 넘게 운동하라운동을 시작하고 몸 속 지방을 에너지원으로 사용하기까지는 보통 20분 정도가 걸린다.,  따라서 하루 최소 20분 정도는 운동에 투자하는 것이 좋다.,  효과적인 지방 분해를 위해서는 40분 이상 운동해야 한다.,  젊은 층은 유산소 운동과 함께 웨이트 트레이닝 등 체중 부하 운동을 통해 근력과 골밀도를 높이는 것이 좋다.,  중·장년층은 격한 운동은 부담이 될 수 있다.,  걷기나 맨손체조, 계단 오르기 등을 시작으로 건강 관리에 나서는 걸 추천한다.,   박 원장은 “당찬 새해 포부를 가지고 운동에 열중하는 사람들이 많은데 신체 유연성과 근력이 제대로 발달하지 않은 상태에서 자신의 한계치 이상 무리하게 운동을 진행하는 경우가 있다”며 “과도한 운동은 근육을 손상하거나 관절에 무리를 줄 수 있는 만큼 운동을 시작했다면 운동 시간과 강도를 천천히 늘려가라”고 조언했다.,  숙면시간을 ‘20%’ 늘려라만성적인 피로감이 가시지 않는다면 평소 수면시간과 습관을 돌아볼 필요가 있다.,  지난해 질병관리본부가 발표한 지역사회건강조사에 따르면 우리나라 20대 이상 인구의 일일 평균 수면 시간은 6., 7시간으로 나타났다.,  하루 적정 수면시간인 8시간을 충족하기 위해 수면시간을 기존보다 20%가량 늘리려는 노력이 필요하다.,  숙면을 위한 습관도 알아두면 좋다.,  박 원장은 “밝은 빛은 뇌의 각성을 유도한다.,  잠들기 전 정보기술(IT) 기기의 사용을 자제하고 자는 동안 체온이 변화하면 숙면에 방해가 되기 때문에 방 온도를 일정하게 유지해주는 게 좋다”고 말했다.,  근육 이완과 원활한 혈액순환을 위해 자기 전 전신을 가볍게 스트레칭하는 것도 추천한다., ",엔도르핀 등을 분비하고 면역력을 강화하는 효과가 있는 웃음에 대해 자생한방병원 박 원장은 얼굴로만 웃기보다 손뼉을 치거나 발을 구르며 웃는 것이 더 효과적이라고 말했다.
2,"지난해 12월 31일 성동구 마장동의 한 아파트 지하 공용 보일러실에서 불이 나 주민 2000여명이 대피하는 소동이 벌어졌다.,    성동구청에 따르면 이날 오후 1시 아파트 단지 지하에 있는 보일러실에서 화재가 발생했다.,  바로 옆에 있던 전기실까지 불이 옮겨붙었다.,  각 동으로 가스와 전기를 보내는 연결선이 모두 불타 가스와 전기, 수도가 모두 끊겼다.,  불은 1시간 30여 분만에 꺼졌고 인명 피해는 없었다.,     “처음에는 정전인 줄 알았다” 주민 2000여명 대피 소동주민들은 성동구청의 안내에 따라 인근 찜질방 2개로 대피했다.,  총 273명이 찜질방에서 새해를 맞았고 나머지 주민들은 친척⋅이웃집이나 숙박업소에서 하룻밤을 보냈다.,  이 아파트에는 총 811세대, 2189명이 거주하고 있다.,  아파트 주민들은 처음에 단순 정전인 줄 알았다고 말했다.,  주민 임모(79)씨는 “불이 꺼지길래 정전인 줄 알았다”며 “아파트가 30년 돼서 그런지 방송을 못 들었는데, 한 시간 뒤에 밖을 보니 소방차가 있었다”고 말했다.,  7층에 사는 한 주민은 “뒤늦게 지하에 불이 난 걸 알고 나왔는데 엘리베이터가 작동 안 돼 걸어 내려왔다”며 “노약자들은 업혀서 내려오기도 했다”고 전했다.,    화재 원인은 아직 밝혀지지 않았다.,  성동소방서는 ""화재감식반이 다녀갔으나 화재 원인은 아직 알 수 없다""고 말했다.,  한 주민은 ""보일러실이 오래돼 전선 노후로 불이 났을 수도 있다""고 추측했다.,   “내일 오후 5시 완전복구 목표” 2개 동엔 임시전력 공급 중현재 성동구청, 한국전력공사 등 공공기관이 아파트 복구를 지원하고 있다.,  성동구청 직원 200여명은 31일 오후부터 교대근무를 하며 주민들을 돕고 있다.,  마장동 주민센터는 아파트 입구에 천막을 세워 주민들을 안내하고 생수, 핫팩, 컵라면 등 비상 물품을 나눠줬다.,  일부 주민들도 나서서 물티슈 등 생활필수품을 나눠주기도 했다.,  한국전력공사는 1일 오전 9시부터 차량 11대와 긴급동원 인력 27명을 동원해 복구작업을 진행하고 있다.,  현재 다목적 임시전력공급장치 3대를 설치해 최대 500킬로와트(kW)의 전력을 공급할 예정이다.,  오후 5시 30분 기준 9개 동 중 2개 동에 전기가 공급되고 있다.,  김경태 한국전력공사 배전운영차장은 “완전한 복구는 내일 오후 5시까지 하는 것이 목표”라고 말했다.,    소동을 겪은 지 하루가 지난 주민들은 침착한 반응을 보였다., ",성동구 마장동의 한 아파트 지하 공용 보일러실에서 불이 나 가스와 전기 수도가 끊겼고 주민 2000여명이 찜질방 등으로 대피했으며 공공기관이 아파트 복구를 지원하고 있다.
3,"“반도체 가격이 상승 전환될 것이라고 보는 게 글로벌 전망 기관의 지배적 견해다., ”(홍남기 부총리 겸 기획재정부 장관.,  지난해 12월 30일 기자 간담회)“2020년 반도체 시황은 제한적인 공급 증가와 수요 개선에 따라 2019년보다 좋을 것”(산업통상자원부 1월 1일.,  ‘수출입 동향’보도자료) 정부의 믿는 구석은 결국 반도체뿐이다.,  올해 수출을 비롯한 경기가 지난해보다 나아질 거라는 정부의 전망은 반도체 업황 회복 가능성에 크게 기대고 있다.,  여러 전문가와 기관도 반도체 업황 회복에 따라 올해 수출이 증가세로 돌아설 거라고 내다본다.,  그런 만큼 한국 경제의 ‘반도체 쏠림’현상은 심화할 것으로 보인다.,    1일 산업통상자원부에 따르면 지난해 반도체 수출은 전년 대비 25., 9% 줄었다.,  20대 주요 수풀 품목 중 가장 높은 감소율이다.,  한국 경제의 대표 주자인 반도체 수출이 확 꺾이자 전체 수출도 크게 줄었다.,  지난해 수출액은 전년 대비 10., 3% 감소했다.,  글로벌 금융위기 여파가 있던 2009년 이후 첫 두 자릿수(-13., 9%) 감소율이다.,  지난해 수출 감소의 주범인 반도체가 올해는 다시 수출 호전의 주역이 될 거라고 정부는 기대하고 있다.,  징후는 보인다.,  물량 기준으로 보면 반도체 수출은 지난해 7월부터 12월까지 6개월째 늘고 있다.,  문제는 수출 단가인데, 요즘 추세를 보면 긍정적이다.,  시장조사기관인 D램익스체인지에 따르면 PC용 DDR4 8기가비트(Gb) D램의 지난해 12월 고정거래가격은 2., 81달러다.,  전달과 같은 수준을 기록하며 하락세가 멈춰섰다.,  낸드플래시는 이미 오름세다.,  128Gb MLC 낸드플래시 가격은 12월 4., 42달러로 한 달 전보다 2., 55% 상승했다.,  시장 반도체 가격은 수출 단가와 직결된다.,   다른 경제 지표에선 이미 반도체 업황 회복에 따른 반등이 나타났다.,  지난해 11월 전(全) 산업생산은 한 달 전보다 0., 4% 늘어나며 오름세로 돌아섰다.,  반도체 생산이 전월 대비 9., 3% 늘어난 덕을 봤다.,  기업 심리도 반도체 업황 개선 기대에 다소 나아졌다.,  지난해 12월 전 산업의 업황 BSI(기업경기실사지수)는 전월보다 2포인트 상승한 76으로 집계됐다.,   수출에도 곧 반도체 회복이 반영될 거라는 게 정부의 기대 섞인 전망이다.,  성윤모 산업부 장관은 “올해 1분기에 수출 조기 플러스 전환을 목표로 총력 대응 체계를 가동할 것”이라고 말했다., ",정부는 반도체 업황 회복 가능성에 크게 기대하고 있으며 여러 전문가과 기관도 반도체 업황 회복에 따라 수출이 증가세로 돌아설 것이라고 예상한다.
4,"학대·유기·이혼·빈곤 등의 이유로 아동보호시설에 보내진 영·유아가 열악한 환경에서 양육되고 있다는 지적이 나왔다.,  보육사 한 명이 돌보는 0~2세 영아는 법적 기준의 두 배인 평균 4명을 웃돌았다.,   이정림 육아정책연구소 연구위원은 4일 이 같은 내용을 담은 ‘아동보호시설 영·유아 양육실태 및 지원방안’ 보고서를 발표했다.,   아동보호시설은 보호가 필요한 아동이 원가정으로 복귀하기 전이나 자립하기 전까지 일시적으로 이들을 보호·양육하는 시설이다.,  일시보호시설과 위탁가정, 공동생활가정(그룹홈) 등이다.,  연구진은 영·유아 담당 보육사 263명을 대상으로 시설의 양육·종사자 현황 등을 조사했다.,  또 관련 종사자나 기관장 등 41명을 심층면담했다.,   조사 결과 돌봄 환경은 열악했다.,  종사자 한 명이 0~2세 영아를 평균 4., 2명씩 돌봤다.,  보고서는 “아동복지법 시행령에서 제시하고 있는 0~2세 보육사 배치기준인 아동 2명당 1명을 현저히 초과하는 숫자”라고 지적했다.,  1~2명을 돌보고 있는 경우는 28., 9%에 불과했고, 3~5명이라고 응답한 이가 44., 4%로 가장 많았다.,  6명 이상을 돌보고 있는 경우도 26., 7%나 됐다.,    보고서는 “베이비박스를 통해 시설에 들어오는 영아가 다른 연령보다 많기 때문으로 추정된다”며 “영아기는 다른 시기보다 돌봄을 가장 많이 필요한 시기인 만큼 보육사의 부족으로 돌봄을 제대로 받지 못하는 상황에 대한 사회적·국가적 관심이 필요하다”고 지적했다.,  보고서에 따르면 시설로 보내지는 영아 10명 중 8명(82., 1%)은 베이비박스를 통해서 온다.,   유아만 돌보는 경우 보육사 한 명이 평균 4., 8명을 담당했다.,  10명 중 7명(71., 3%)은 5명 이하를 돌봤지만, 6명 이상을 담당하는 보육사도 28., 7%나 됐다.,  영·유아를 함께 보는 경우에는 보육사 1인당 돌보는 아동이 평균 8., 0명으로 나타났다.,   이들의 원가정과의 교류는 사실상 끊겨 있었다.,  교류하고 있지 않는 영아가 대다수(89., 5%)였다.,  유아의 경우에도 그 비중은 87., 3%였다.,  대부분 베이비박스로 유기돼 부모를 알 수 없는 경우가 많기 때문이라고 보고서는 밝혔다.,    제대로 돌봄을 받지 못하는 탓에 불안감이나 회피·위축, 조절되지 않는 공격성 등에서 높은 반응을 보이는 것으로 나타났다.,  연구진이 아동양육시설이나 공동생활가정, 위탁가정에서 자라는 3~7세 유아 총 15명을 대상으로 심리검사의 일종인 애착표상(MSSB) 검사를 조사한 결과다., ",육아정책연구소 이 연구위원은 아동보호시설에 대한 보고서에서 영유아가 열악한 환경에서 양육되고 있고 국가적인 관심이 필요하다고 지적했다.
5," 병원탐방 연세오케이정형외과의원현대인의 척추 건강이 위협받고 있다.,  고령화와 비만·운동 부족 등 생활 방식 변화가 맞물린 결과다.,  척추가 망가지면 삶의 질은 뚝 떨어진다.,  활동량이 줄면서 신체 기능이 전반적으로 떨어지고 면역력과 체력이 약해져 병치레가 잦아진다.,  최근에는 이유 모를 허리·다리 통증으로 고통받는 환자도 적지 않다.,  영상 검사에도 뚜렷한 원인이 나타나지 않고 약물·주사·시술로도 통증이 지속해 애를 태운다.,  연세오케이정형외과의원 여석곤(신경외과 전문의) 원장은 “근골격계 통증은 단순히 해당 부위의 문제로만 나타나는 것이 아니다”며 “정형화된 진단·치료를 뛰어넘는 환자 맞춤형 진료가 이뤄져야 한다”고 강조했다.,  경험 10년 넘은 의료진 머리 맞대 연세오케이정형외과의원의 맞춤형 진료는 다학제 협진에서 시작된다.,  매주 2회, 정형외과·신경외과·마취통증의학과·재활의학과 등 8명의 의료진이 한자리에 모여 환자의 증상을 분석하고 치료 계획을 세운다.,  배의정(정형외과 전문의) 원장은 “10년 이상 경험을 갖춘 의료진이 머리를 맞대 최선의 치료 방법을 찾는다”고 말했다.,   이 병원이 척추 질환에 다학제(多學際·협진)를 도입한 이유가 있다.,  첫째, 치료의 우선순위를 결정하는 데 효과적이다.,  척추가 손상되면 내부(척추관)를 관통하는 신경이 눌려 다리 쪽에 통증·저림 등 이상 증상이 나타난다.,  문제는 노화와 신체 불균형 등으로 척추·관절이 동시에 망가지는 경우다.,  이때는 환자의 증상이 척추 문제인지, 해당 부위 뼈·근육의 문제인지 구별하는 것이 중요하다.,  치료 순서가 달라지는 것만으로 한 부위는 과잉, 다른 부위는 과소 치료하는 결과를 낳을 수 있다.,   고질적인 무릎 통증을 앓던 김모(45·여)씨가 대표적인 사례다.,  그는 자기공명영상(MRI) 검사에서 무릎관절 손상과 허리디스크를 동시에 진단받았다.,  앞서 동네 병원을 찾았을 땐 손상된 관절을 다듬는 관절 내시경 수술을 권유받은 상태였다.,  하지만 다학제 협진의 결론은 달랐다.,  정형외과 의료진은 무릎 손상이 장기간 통증을 일으킬 만한 수준이 아니고 손상 역시 언제 발생했는지 알 수 없다는 의견을 제시했다.,  신경외과 의료진도 통증이 무릎과 허벅지 전반에 나타나는 점을 고려해 디스크 문제가 더 크다고 판단했다.,  김씨는 무릎 대신 척추 시술을 먼저 받았고, 그 결과 지긋지긋한 통증에서 해방될 수 있었다., ",생활 방식의 변화로 현대인의 척추 건강이 나빠지며 활동량이 줄어 신체기능이 떨어지는 등 삶의 질에 영향을 주고 있다.
6," 그러나 학기 중에는 이런 데 신경 쓸 틈이 없으므로 방학을 활용하는 것이다.,  자녀의 대학 입시 결과와 그 이후의 상황이 가족 전체에게 영향이 크기 때문에, 이것만큼은 온 가족이 관심을 갖고 온라인/오프라인으로 참여하는 것이 좋다.,  여러 직업군과 그에 맞는 학과 등을 커리어넷, 학과 홈페이지, 유튜브 등을  활용하여 정보를 얻고, 그 직업과 관련된 박람회, 행사, 학교, 직장 등을 다 함께 여행처럼 다녀오는 것이다.,  오고 가는 차 속에서 공부에 대해 잔소리는 하지 말고, 자녀의 중심에서부터 이 직업을 선택하고 싶은 열망이 발생하도록 자연스러운 대화를 나누는 것이 중요하다.,  방학이라고 해도 주 중에는 나름의 학습 습관을 유지하고 있다가 주말을 활용해서 다녀오는 것이 바람직할 것이다.,  또한 진로와 관련된 봉사활동을 찾아보면 생각보다 많으니, 방학을 활용해서 참여해주도록 한다.,  개학 후에 겨울방학 봉사활동으로 추가해서 기록할 수 있다.,   둘째, 독서를 한다.,  꼭 필요하지만, 학기 중에는 좀처럼 하기 어려운 게 독서인데, 방학 동안의 독서로 바람직한 방향은 다음과 같다.,  1.,  어느 정도 진로가 정해졌다면, 방학을 활용해서 '교과목 독서'에 힘쓴다.,  학교에서는 독서 활동을 공통 독서와 교과목 독서로 나눈다.,  공통 독서는 각종 교양서, 교과목 독서는 전공 적합성과 관련된 독서를 말한다.,  이렇게 전공 영역에서 쌓아놓은 독서 내공은 대학입시 면접에서 중요한 역할을 한다.,  또한 전문적인 내용으로 구성되어 있으므로 눈앞의 공부에 대한 동기부여뿐 아니라 언어의 비문학 영역에도 도움이 된다.,     2.,  국어의 문학/비문학 영역을 읽는다.,  모의고사에 나온 지문을 구글링해서 원문을 찾거나, 비슷한 자료의 리스트를 구해서 매일 시간을 정해놓고 읽는 방식이 좋다.,  이때 자신이 싫어하는 쪽을 의도적으로 선택하도록 한다.,  하루 30분~1시간을 정해놓고 방학 동안 읽어 나간다면 국어 지문을 대할 때의 부담감이 한결 덜해져 있을 것이다.,     셋째, 평소 부족했던 과목을 보완하는 기회로 삼는다.,  학원에서 개설하는 방학특강은 학원에 이득이 될 뿐, 실제로는 크게 효과가 없다고 보면 된다.,  다수를 대상으로 할 때 수익이 나는 학원의 이해관계 때문에 각자의 부족한 부분을 일일이 챙겨줄 수 없기 때문이다.,   또한 자녀가 특정 과목에서 5등급 이하의 성적이라면, 교과서의 내용을 이해하기 어려운 것일 수도 있다., ",자녀의 대학 입시 결과와 그 이후의 상황이 가족 전체에게 영향이 크기 때문에 온 가족이 관심을 갖고 진로와 관련된 봉사활동을 찾아보고 방학을 활용해서 참여하도록 한다.
7," 바닷가에는 이 도시의 상징처럼 알려진 고래뼈 조각공원이 있다.,  이들의 말을 듣고 고래뼈 조각공원위로 홀연히 나타난 오로라를 보니 아름답게만 보이지는 않는다.,   옛 소련의 도움으로 구출한 회색고래 이야기 매년 하지가 되면 우트키아비크에서는 ‘나루카타크’라고 하는 고래축제가 열린다.,  겨우내내 바다가 얼어붙어 고래사냥을 할 수 없었던 이 지역사람들이 봄철동안의 고래잡이 시즌을 무사히 마치고 감사의 뜻을 표현하는 축제이다.,  말하자면 ‘고래추수감사절’인 것이다.,  이 축제의 하이라이트는 바다표범가죽으로 만든 담요 위에 고래사냥을 이끌었던 대장 사냥꾼을 하늘높이 헹가래를 치는 것이다.,  이것으로 고래를 내려준 하늘에 대한 감사와 고래들의 넋을 기리는 동시에, 고래를 잡아와서 주민들의 생을 이어가게 해준 사냥대장에게 특별한 존경을 표현한다.,    그렇다고 이 곳 사람들이 고래를 마구잡이로 잡는 것은 아니다.,  1988년 10월, 갑자기 바다얼음이 두꺼워지면서 미처 북극해를 빠져나가지 못한 어린 회색고래 3마리가 얼음에 갇히는 일이 발생한다.,  이 고래들은 원주민들의 노력과 놀랍게도 당시 옛 소련 쇄빙선 마카로프호의 도움을 받아 20일 만에 구출됐다.,  이 이야기는 그로부터 24년이 지난 2012년, ‘빅미라클’(Big Miracle)이라는 영화로 제작되었다.,  당시 소련의 붕괴가 얼마남지 않은 시점이었으나, 냉전 중에 소련의 쇄빙선이 미국 해역에 공식적으로 진입한 전무후무한 사건이었다.,  개발을 둘러싼 세대 간 꿈의 차이 우트키아비크는 북위 71도에 위치하고 있으며 알래스카 최초의 원주민자치구인 노스슬로프 군(Borough) 8개 마을 중의 하나이며 인구는 약 5000명이다.,  2000년에는 북극이사회 사상 두 번째 장관회의가 개최된 역사적인 곳이기도 하다.,  경제활동으로는 고래와 사슴류 사냥, 어업같은 전통산업과 석유 및 광물 등 자원개발산업이 공존하고 있다.,    하지만 필자가 방문했을 당시, 국제유가 하락과 미 본토의 세일가스 개발로 인한 영향으로 지역민의 70% 가까이 실직상태였다.,  높은 자살율과 알콜ㆍ마약의 확산, 가공식품 범람으로 지역사회 불안정이 심각한 단계에 있다는 걱정 담긴 원주민 원로들의 고백을 들었다.,  반대로 킴블리라는 이름의 여고생으로부터는 장차 지질학을 공부해서 지하자원 개발로 자신이 태어나고 자라 온 지역의 부흥에 기여하고 싶다는 소박한 꿈도 들을 수 있었다., ",우트키아비크에서는 하지가 되면 봄철 동안의 고래잡이 시즌을 무사히 마친 것에 대한 감사의 뜻으로 나루카타크를 열며 대장 사냥꾼을 하늘 높이 헹가래를 친다.
8," 한·중이 사드에 관한 ‘3불(不)’이 ‘약속’인지 ‘입장표명’인지 표현을 놓고 갈등하는 모양새도 해석의 차이가 있지만, 결국은 중국이 한국을 압박할 수 있는 카드다.,  예를 들어 미국이 중거리 미사일을 한국에 배치하면 중국은 ‘3불 위반’으로 몰아갈 수 있다.,  한·중관계는 다시 악화될 것이고, 그 파동은 분명 사드 때보다 더 큰 양자 관계 파열이 될 것이다.,  1962년 쿠바 미사일 위기가 회자되는 이유다.,   착시: 시 주석 다녀가면 사드 갈등 끝난다? 2020년은 한·중관계 ‘회복’과 ‘비대칭화’가 동시에 진행되는 한 해가 될 수 있다.,  한국이 기존 동맹인 미국 등 주요국들과 관계가 악화되면서 중국 쪽으로 외교 방향이 기울게 되는 측면과, 미·중관계 악화 속에서 한국을 중국 쪽으로 견인하려는 중국의 계산이 맞아떨어져 가는 측면이 교집합을 형성하기 때문이다.,  미·중관계 악화가 심화되는 배경 속에서 한국이 동맹인 미국과의 관계, 이웃인 중국과의 관계를 조율시키는 숙제는 2020년에도 지속될 것이다.,  사드 배치를 둘러싸고 한국이 보인 우유부단한 태도는 미국 내에서 일고 있는 한국의 ‘중국 경사론’과 맞물려 한국이 신뢰할 수 있는 동맹인지에 대한 문제를 야기했다.,  한국이 결국 미국이 원하는 대로 사드를 배치했음에도 불구하고 미국의 갈채를 받지 못한 이유다.,  미국은 한국이 사드 배치로 인해 중국의 보복을 받고 있는 와중에서도 ‘전략적 인내’를 했다.,  이는 아무것도 안한 것을 고상하게 일컫는 말이다.,  친구가 나 때문에 맞고 있는데 뒷짐 지고 구경한 격이다.,  이는 미·중 사이에서 한국의 포지셔닝 전략에 대해 한국이 좀 더 깊은 고민을 해야한다는 것을 시사한다.,  단순히 미·중 사이의 기계적인 중립이나, ‘미·중 둘 다 중요하니 어느 쪽도 선택하면 안된다’는 ‘영리한 변명’(clever excuse) 뒤에 숨어서는 안된다.,  주변국 줄세우기는 강대국들의 오랜 역사적 패권 행동 양식이다.,  가장 우려되는 것은 이러한 환경에서 한국이 선택할 수 있는 전략적 옵션이 마땅치 않다는 것이다.,  이는 한국이 미·중 모두로부터 구애를 받기보다는, 양쪽 모두로부터 전략적 의구심을 받고 있는 상황과 맞물려 한국 외교의 어려움을 가중시킬 수 있다.,  종합적으로 볼 때 한·중관계가 회복되고 한·중 간 최대 장애물이었던 사드 갈등이 마무리될 것처럼 보이는 것은 ‘착시’현상이다.,  미·중 갈등 심화과정에서 중국이 한국에 대한 전략적 조정에 나선 측면이 더 크다., ",사드에 관한 3불이 결국은 중국이 한국을 압박할 수 있는 카드이며 미국이 중거리 미사일을 한국에 배치하면 중국은 3불 위반으로 몰아갈 수 있고 관계는 다시 악화될 것이다.
9,"매일 커피전문점을 찾는 이지은(32) 씨는 결제할 때마다 5초쯤 멈춘다.,  카드를 고르기 위해서다.,  스마트폰 간편결제를 할 때도 화면을 넘기며 오늘의 카드를 고르는 건 마찬가지다.,  직장 생활을 시작하면서 하나둘씩 만들었는데 지갑 속에 꽂힌 것만 9장.,  이 씨는 “발급할 땐 분명 이유가 있었을 텐데 이젠 기억이 안 난다”며 “쓰지도 못할 카드를 뭐하러 이렇게 만들었는지 나조차 의아하다”고 말했다.,  한국은행에 따르면 국내 신용카드 발급량은 2008년 금융위기 이후 2014년까지 꾸준히 줄었다.,  하지만 2015년부터 늘어 지난해 다시 1억장을 돌파했다.,  체크카드(1억3000만장)까지 합하면 대략 2억4000만장.,  성인 인구로 단순 계산해도 1인당 5~6장의 카드를 쓴다는 얘기다.,  개수만 는 게 아니다.,  현금을 덜 쓰고, 카드를 더 쓰는 추세는 뚜렷하다.,  카드 같은 현금 이외의 수단으로 결제한 돈이 지난해 처음으로 하루 80조원을 넘어섰다.,  쓰는 돈은 많아졌는데 혜택이나 부가서비스에 만족하는 사람은 많지 않다.,  이 씨처럼 만들 땐 다 이유가 있다.,  쇼핑몰 할인율이 높아서, 포인트를 많이 쌓아줘서, 연회비가 없어서.,  그럼 만든 목적대로 써야 하는데 생각 같지 않다.,  뭐든 숫자가 늘면 관리가 힘든 법이다.,  특히 쓰지도 않으면서 연회비만 내는 상황에 이르렀다면 새해맞이 카드 다이어트가 필요하다.,  고민할 것 없이 딱 한 장으로 줄이면 간편하다.,  다만 지출이 많은 직장인은 체크카드 1개, 신용카드 1개로 나눠 쓰는 게 효율적이다.,  각각의 장점이 있어서다.,  일단 연말정산에 도움이 된다.,  카드 사용액은 연말정산 때 소득공제 혜택이 있다.,  공제율은 신용카드가 15%, 체크카드가 30%다.,  공제율 자체는 체크카드가 좋지만, 지출이 총급여의 25%를 넘어야 공제를 받을 수 있다.,  혜택이 좋은 신용카드로 일정액을 쓰고, 지출이 25%를 확실히 넘긴다고 판단될 때 체크카드 사용을 늘리는 게 합리적이다.,  이렇게 한 장씩만 남기면 생활 패턴에 맞춰 쓰기도 좋다.,  편의점이나 커피전문점에서는 체크카드를, 고정 지출이나 큰돈 쓸 일 생겼을 땐 신용카드를 사용하는 식이다.,  보통 체크카드는 특정 쇼핑몰이나 커피전문점에 할인 혜택을 몰아준다.,  발급할 때부터 본인이 자주 방문하는 곳과 주거래은행에 맞추는 게 좋다.,  전월 사용금액 기준이 까다로운 신용카드는 매월 자동결제나 할부, 택시비 등을 활용해 별다른 계산 없이도 실적을 채울 수 있도록 준비해야 한다., ",현금 이외의 수단으로 결제한 돈이 많이 늘어났지만 혜택이나 부가 서비스에 만족하는 사람은 적은데 연회비만 내는 상황이면 카드 다이어트가 필요하다. 
